Mortgage Amount:       $ 651190.42
Mortgage Duration:     30.00
Interest Rate:         2.87%
Monthly Payment:       $ 2700.00
Total Payment:         $ 972000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

      172       980.96      1719.04    408438.12
      173       976.85      1723.15    406714.96
      174       972.73      1727.27    404987.69
      175       968.60      1731.40    403256.29
      176       964.45      1735.55    401520.74
      177       960.30      1739.70    399781.05
      178       956.14      1743.86    398037.19
      179       951.97      1748.03    396289.16
      180       947.79      1752.21    394536.95
      181       943.60      1756.40    392780.55
      182       939.40      1760.60    391019.95
      183       935.19      1764.81    389255.14
      184       930.97      1769.03    387486.11
      185       926.74      1773.26    385712.85
      186       922.50      1777.50    383935.35
      187       918.25      1781.75    382153.59
      188       913.98      1786.02    380367.57
      189       909.71      1790.29    378577.29
      190       905.43      1794.57    376782.72
      191       901.14      1798.86    374983.86
      192       896.84      1803.16    373180.69
      193       892.52      1807.48    371373.22
      194       888.20      1811.80    369561.42
      195       883.87      1816.13    367745.29
      196       879.52      1820.48    365924.81
      197       875.17      1824.83    364099.98
      198       870.81      1829.19    362270.79
      199       866.43      1833.57    360437.22
      200       862.05      1837.95    358599.26
      201       857.65      1842.35    356756.91
      202       853.24      1846.76    354910.16
      203       848.83      1851.17    353058.98
      204       844.40      1855.60    351203.38
      205       839.96      1860.04    349343.34
      206       835.51      1864.49    347478.86
      207       831.05      1868.95    345609.91
      208       826.58      1873.42    343736.49
      209       822.10      1877.90    341858.60
      210       817.61      1882.39    339976.21
      211       813.11      1886.89    338089.32
      212       808.60      1891.40    336197.92
      213       804.07      1895.93    334301.99
      214       799.54      1900.46    332401.53
      215       794.99      1905.01    330496.52
      216       790.44      1909.56    328586.96
      217       785.87      1914.13    326672.83
      218       781.29      1918.71    324754.12
      219       776.70      1923.30    322830.83
      220       772.10      1927.90    320902.93
      221       767.49      1932.51    318970.42
      222       762.87      1937.13    317033.29
      223       758.24      1941.76    315091.53
      224       753.59      1946.41    313145.12
      225       748.94      1951.06    311194.06
      226       744.27      1955.73    309238.34
      227       739.60      1960.40    307277.93
      228       734.91      1965.09    305312.84
      229       730.21      1969.79    303343.04
      230       725.50      1974.50    301368.54
      231       720.77      1979.23    299389.31
      232       716.04      1983.96    297405.35
      233       711.29      1988.71    295416.65
      234       706.54      1993.46    293423.18
      235       701.77      1998.23    291424.95
      236       696.99      2003.01    289421.95
      237       692.20      2007.80    287414.15
      238       687.40      2012.60    285401.55
      239       682.59      2017.41    283384.13
      240       677.76      2022.24    281361.89
      241       672.92      2027.08    279334.82
      242       668.08      2031.92    277302.89
      243       663.22      2036.78    275266.11
      244       658.34      2041.66    273224.45
      245       653.46      2046.54    271177.91
      246       648.57      2051.43    269126.48
      247       643.66      2056.34    267070.14
      248       638.74      2061.26    265008.88
      249       633.81      2066.19    262942.70
      250       628.87      2071.13    260871.57
      251       623.92      2076.08    258795.49
      252       618.95      2081.05    256714.44
      253       613.98      2086.02    254628.41
      254       608.99      2091.01    252537.40
      255       603.99      2096.01    250441.39
      256       598.97      2101.03    248340.36
      257       593.95      2106.05    246234.31
      258       588.91      2111.09    244123.22
      259       583.86      2116.14    242007.08
      260       578.80      2121.20    239885.88
      261       573.73      2126.27    237759.60
      262       568.64      2131.36    235628.25
      263       563.54      2136.46    233491.79
      264       558.43      2141.57    231350.23
      265       553.31      2146.69    229203.54
      266       548.18      2151.82    227051.72
