Mortgage Amount:       $ 719704.48
Mortgage Duration:     30.00
Interest Rate:         5.75%
Monthly Payment:       $ 4200.00
Total Payment:         $ 1512000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

      175      2473.73      1726.27    514530.42
      176      2465.46      1734.54    512795.88
      177      2457.15      1742.85    511053.03
      178      2448.80      1751.20    509301.83
      179      2440.40      1759.60    507542.23
      180      2431.97      1768.03    505774.20
      181      2423.50      1776.50    503997.70
      182      2414.99      1785.01    502212.69
      183      2406.44      1793.56    500419.13
      184      2397.84      1802.16    498616.97
      185      2389.21      1810.79    496806.18
      186      2380.53      1819.47    494986.71
      187      2371.81      1828.19    493158.52
      188      2363.05      1836.95    491321.57
      189      2354.25      1845.75    489475.82
      190      2345.40      1854.60    487621.22
      191      2336.52      1863.48    485757.74
      192      2327.59      1872.41    483885.33
      193      2318.62      1881.38    482003.95
      194      2309.60      1890.40    480113.55
      195      2300.54      1899.46    478214.09
      196      2291.44      1908.56    476305.54
      197      2282.30      1917.70    474387.83
      198      2273.11      1926.89    472460.94
      199      2263.88      1936.12    470524.82
      200      2254.60      1945.40    468579.42
      201      2245.28      1954.72    466624.69
      202      2235.91      1964.09    464660.60
      203      2226.50      1973.50    462687.10
      204      2217.04      1982.96    460704.14
      205      2207.54      1992.46    458711.68
      206      2197.99      2002.01    456709.68
      207      2188.40      2011.60    454698.08
      208      2178.76      2021.24    452676.84
      209      2169.08      2030.92    450645.92
      210      2159.35      2040.65    448605.26
      211      2149.57      2050.43    446554.83
      212      2139.74      2060.26    444494.57
      213      2129.87      2070.13    442424.44
      214      2119.95      2080.05    440344.39
      215      2109.98      2090.02    438254.37
      216      2099.97      2100.03    436154.34
      217      2089.91      2110.09    434044.25
      218      2079.80      2120.20    431924.04
      219      2069.64      2130.36    429793.68
      220      2059.43      2140.57    427653.11
      221      2049.17      2150.83    425502.28
      222      2038.87      2161.13    423341.15
      223      2028.51      2171.49    421169.65
      224      2018.10      2181.90    418987.76
      225      2007.65      2192.35    416795.41
      226      1997.14      2202.86    414592.55
      227      1986.59      2213.41    412379.14
      228      1975.98      2224.02    410155.13
      229      1965.33      2234.67    407920.45
      230      1954.62      2245.38    405675.07
      231      1943.86      2256.14    403418.93
      232      1933.05      2266.95    401151.98
      233      1922.19      2277.81    398874.17
      234      1911.27      2288.73    396585.44
      235      1900.31      2299.69    394285.74
      236      1889.29      2310.71    391975.03
      237      1878.21      2321.79    389653.24
      238      1867.09      2332.91    387320.33
      239      1855.91      2344.09    384976.24
      240      1844.68      2355.32    382620.92
      241      1833.39      2366.61    380254.31
      242      1822.05      2377.95    377876.36
      243      1810.66      2389.34    375487.02
      244      1799.21      2400.79    373086.23
      245      1787.70      2412.30    370673.94
      246      1776.15      2423.85    368250.08
      247      1764.53      2435.47    365814.61
      248      1752.86      2447.14    363367.47
      249      1741.14      2458.86    360908.61
      250      1729.35      2470.65    358437.96
      251      1717.52      2482.48    355955.48
      252      1705.62      2494.38    353461.10
      253      1693.67      2506.33    350954.77
      254      1681.66      2518.34    348436.43
      255      1669.59      2530.41    345906.02
      256      1657.47      2542.53    343363.48
      257      1645.28      2554.72    340808.77
      258      1633.04      2566.96    338241.81
      259      1620.74      2579.26    335662.55
      260      1608.38      2591.62    333070.93
      261      1595.96      2604.04    330466.90
      262      1583.49      2616.51    327850.39
      263      1570.95      2629.05    325221.34
      264      1558.35      2641.65    322579.69
      265      1545.69      2654.31    319925.38
      266      1532.98      2667.02    317258.36
      267      1520.20      2679.80    314578.55
      268      1507.36      2692.64    311885.91
      269      1494.45      2705.55    309180.36
      270      1481.49      2718.51    306461.85
      271      1468.46      2731.54    303730.31
      272      1455.37      2744.63    300985.69
      273      1442.22      2757.78    298227.91
      274      1429.01      2770.99    295456.92
      275      1415.73      2784.27    292672.65
      276      1402.39      2797.61    289875.04
      277      1388.98      2811.02    287064.03
      278      1375.52      2824.48    284239.54
      279      1361.98      2838.02    281401.52
      280      1348.38      2851.62    278549.91
      281      1334.72      2865.28    275684.62
      282      1320.99      2879.01    272805.61
      283      1307.19      2892.81    269912.81
      284      1293.33      2906.67    267006.14
      285      1279.40      2920.60    264085.54
      286      1265.41      2934.59    261150.95
      287      1251.35      2948.65    258202.30
      288      1237.22      2962.78    255239.52
      289      1223.02      2976.98    252262.54
      290      1208.76      2991.24    249271.30
      291      1194.42      3005.58    246265.73
      292      1180.02      3019.98    243245.75
      293      1165.55      3034.45    240211.30
      294      1151.01      3048.99    237162.31
      295      1136.40      3063.60    234098.72
      296      1121.72      3078.28    231020.44
      297      1106.97      3093.03    227927.41
      298      1092.15      3107.85    224819.56
      299      1077.26      3122.74    221696.83
      300      1062.30      3137.70    218559.12
      301      1047.26      3152.74    215406.39
      302      1032.16      3167.84    212238.54
      303      1016.98      3183.02    209055.52
      304      1001.72      3198.28    205857.24
      305       986.40      3213.60    202643.64
      306       971.00      3229.00    199414.64
      307       955.53      3244.47    196170.17
      308       939.98      3260.02    192910.15
      309       924.36      3275.64    189634.51
      310       908.67      3291.33    186343.18
      311       892.89      3307.11    183036.07
      312       877.05      3322.95    179713.12
      313       861.13      3338.87    176374.25
      314       845.13      3354.87    173019.37
      315       829.05      3370.95    169648.42
      316       812.90      3387.10    166261.32
      317       796.67      3403.33    162857.99
      318       780.36      3419.64    159438.35
      319       763.98      3436.02    156002.33
      320       747.51      3452.49    152549.84
      321       730.97      3469.03    149080.81
      322       714.35      3485.65    145595.15
      323       697.64      3502.36    142092.80
      324       680.86      3519.14    138573.66
      325       664.00      3536.00    135037.66
      326       647.06      3552.94    131484.71
      327       630.03      3569.97    127914.74
      328       612.92      3587.08    124327.67
      329       595.74      3604.26    120723.40
      330       578.47      3621.53    117101.87
      331       561.11      3638.89    113462.98
      332       543.68      3656.32    109806.66
      333       526.16      3673.84    106132.82
      334       508.55      3691.45    102441.37
      335       490.86      3709.14     98732.24
      336       473.09      3726.91     95005.33
      337       455.23      3744.77     91260.56
      338       437.29      3762.71     87497.85
      339       419.26      3780.74     83717.11
      340       401.14      3798.86     79918.26
      341       382.94      3817.06     76101.20
      342       364.65      3835.35     72265.85
      343       346.27      3853.73     68412.12
      344       327.81      3872.19     64539.93
      345       309.25      3890.75     60649.19
      346       290.61      3909.39     56739.80
      347       271.88      3928.12     52811.67
      348       253.06      3946.94     48864.73
      349       234.14      3965.86     44898.87
      350       215.14      3984.86     40914.01
      351       196.05      4003.95     36910.06
      352       176.86      4023.14     32886.92
      353       157.58      4042.42     28844.50
      354       138.21      4061.79     24782.72
      355       118.75      4081.25     20701.47
      356        99.19      4100.81     16600.66
      357        79.54      4120.46     12480.21
      358        59.80      4140.20      8340.01
      359        39.96      4160.04      4179.97
      360        20.03      4179.97         0.00
