Mortgage Amount:       $ 479802.99
Mortgage Duration:     30.00
Interest Rate:         5.75%
Monthly Payment:       $ 2800.00
Total Payment:         $ 1008000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

      179      1626.94      1173.06    338361.49
      180      1621.32      1178.68    337182.80
      181      1615.67      1184.33    335998.47
      182      1609.99      1190.01    334808.46
      183      1604.29      1195.71    333612.75
      184      1598.56      1201.44    332411.31
      185      1592.80      1207.20    331204.12
      186      1587.02      1212.98    329991.14
      187      1581.21      1218.79    328772.35
      188      1575.37      1224.63    327547.71
      189      1569.50      1230.50    326317.21
      190      1563.60      1236.40    325080.82
      191      1557.68      1242.32    323838.49
      192      1551.73      1248.27    322590.22
      193      1545.74      1254.26    321335.97
      194      1539.73      1260.27    320075.70
      195      1533.70      1266.30    318809.40
      196      1527.63      1272.37    317537.02
      197      1521.53      1278.47    316258.56
      198      1515.41      1284.59    314973.96
      199      1509.25      1290.75    313683.21
      200      1503.07      1296.93    312386.28
      201      1496.85      1303.15    311083.13
      202      1490.61      1309.39    309773.74
      203      1484.33      1315.67    308458.07
      204      1478.03      1321.97    307136.10
      205      1471.69      1328.31    305807.79
      206      1465.33      1334.67    304473.12
      207      1458.93      1341.07    303132.05
      208      1452.51      1347.49    301784.56
      209      1446.05      1353.95    300430.61
      210      1439.56      1360.44    299070.17
      211      1433.04      1366.96    297703.22
      212      1426.49      1373.51    296329.71
      213      1419.91      1380.09    294949.63
      214      1413.30      1386.70    293562.93
      215      1406.66      1393.34    292169.58
      216      1399.98      1400.02    290769.56
      217      1393.27      1406.73    289362.83
      218      1386.53      1413.47    287949.36
      219      1379.76      1420.24    286529.12
      220      1372.95      1427.05    285102.07
      221      1366.11      1433.89    283668.19
      222      1359.24      1440.76    282227.43
      223      1352.34      1447.66    280779.77
      224      1345.40      1454.60    279325.17
      225      1338.43      1461.57    277863.61
      226      1331.43      1468.57    276395.04
      227      1324.39      1475.61    274919.43
      228      1317.32      1482.68    273436.75
      229      1310.22      1489.78    271946.97
      230      1303.08      1496.92    270450.05
      231      1295.91      1504.09    268945.95
      232      1288.70      1511.30    267434.65
      233      1281.46      1518.54    265916.11
      234      1274.18      1525.82    264390.29
      235      1266.87      1533.13    262857.16
      236      1259.52      1540.48    261316.69
      237      1252.14      1547.86    259768.83
      238      1244.73      1555.27    258213.56
      239      1237.27      1562.73    256650.83
      240      1229.79      1570.21    255080.61
      241      1222.26      1577.74    253502.87
      242      1214.70      1585.30    251917.58
