Mortgage Amount:       $ 479802.99
Mortgage Duration:     30.00
Interest Rate:         5.75%
Monthly Payment:       $ 2800.00
Total Payment:         $ 1008000.00

Amortization Schedule ------------------------------------------------------------
Payment #     Interest    Principal      Balance
                  paid         paid             

      295       757.60      2042.40    156065.81
      296       747.82      2052.18    154013.63
      297       737.98      2062.02    151951.61
      298       728.10      2071.90    149879.71
      299       718.17      2081.83    147797.88
      300       708.20      2091.80    145706.08
      301       698.17      2101.83    143604.26
      302       688.10      2111.90    141492.36
      303       677.98      2122.02    139370.34
      304       667.82      2132.18    137238.16
      305       657.60      2142.40    135095.76
      306       647.33      2152.67    132943.09
      307       637.02      2162.98    130780.11
      308       626.65      2173.35    128606.77
      309       616.24      2183.76    126423.01
      310       605.78      2194.22    124228.79
      311       595.26      2204.74    122024.05
      312       584.70      2215.30    119808.75
      313       574.08      2225.92    117582.83
      314       563.42      2236.58    115346.25
      315       552.70      2247.30    113098.95
      316       541.93      2258.07    110840.88
      317       531.11      2268.89    108571.99
      318       520.24      2279.76    106292.24
      319       509.32      2290.68    104001.55
      320       498.34      2301.66    101699.89
      321       487.31      2312.69     99387.20
      322       476.23      2323.77     97063.44
      323       465.10      2334.90     94728.53
      324       453.91      2346.09     92382.44
      325       442.67      2357.33     90025.10
      326       431.37      2368.63     87656.47
      327       420.02      2379.98     85276.50
      328       408.62      2391.38     82885.11
      329       397.16      2402.84     80482.27
      330       385.64      2414.36     78067.91
      331       374.08      2425.92     75641.99
      332       362.45      2437.55     73204.44
      333       350.77      2449.23     70755.21
      334       339.04      2460.96     68294.25
      335       327.24      2472.76     65821.49
      336       315.39      2484.61     63336.88
      337       303.49      2496.51     60840.37
      338       291.53      2508.47     58331.90
      339       279.51      2520.49     55811.41
      340       267.43      2532.57     53278.84
      341       255.29      2544.71     50734.13
      342       243.10      2556.90     48177.23
      343       230.85      2569.15     45608.08
      344       218.54      2581.46     43026.62
      345       206.17      2593.83     40432.79
      346       193.74      2606.26     37826.53
      347       181.25      2618.75     35207.78
      348       168.70      2631.30     32576.49
      349       156.10      2643.90     29932.58
      350       143.43      2656.57     27276.01
      351       130.70      2669.30     24606.71
      352       117.91      2682.09     21924.61
      353       105.06      2694.94     19229.67
      354        92.14      2707.86     16521.81
      355        79.17      2720.83     13800.98
      356        66.13      2733.87     11067.11
      357        53.03      2746.97      8320.14
      358        39.87      2760.13      5560.01
      359        26.64      2773.36      2786.65
      360        13.35      2786.65         0.00
